Session,Hip,PropertyLine1,PropertyLine2,Description,DOB,Color,Sex,Sire,Dam,CoveringSire,LastService,Pregnancy,SoldAs,Purchaser,Price
2,0437,"Small Batch Sales, Agent VI","","Shabang Baby","03/11/2015","CH",Mare,"Horse Greeley","Boom Boom Bertie","","","","Racing or Broodmare Prospect","Sabana Farm LLC",22500.00
2,0438,"Blandford Stud (Padraig Campion), Agent","","Mastery --- Shannon Faith","04/30/2019","B",Colt,"Mastery","Shannon Faith","","","","Yearling","Andre Lynch, Agent",100000
2,0439,"James B. Keogh (Grovendale), Agent II","","Sharp Act","02/20/2010","B",Mare,"Our New Recruit","She's an Eleven","Candy Ride (ARG)","04/28/2019","pregnant","Broodmare","Barry Fowler",60000
2,0440,"Buck Pond Farm (Douglas S. Arnold), Agent","","Sharp Sally","05/04/2009","CH",Mare,"Posse","Lemon Haze","West Coast","03/15/2019","pregnant","Broodmare","*RNA (40,000)",---
2,0441,"Royal Oak Farm (Damian & Braxton Lynch), Agent","","Sheppard's Pie","04/02/2008","DB/BR",Mare,"Include","Last Approach","Union Rags","03/25/2019","pregnant","Broodmare","Out",0
2,0442,"Bill Murphy, Agent II","","Goldencents --- She'saflashymiss","04/21/2019","CH",Colt,"Goldencents","She'saflashymiss","","","","Yearling","*RNA (32,000)",---
2,0443,"Cara Bloodstock (Bernard McCormack), Agent VI","","She's a Ringer","02/13/2012","DB/BR",Mare,"Where's the Ring","Executive Affair","Paynter","04/16/2019","pregnant","Broodmare","Richard Hogan, Agent for Ashlee Burness",22000
2,0444,"Buck Pond Farm (Douglas S. Arnold), Agent","","She's Plain Jane","03/25/2014","B",Mare,"Into Mischief","Empires Answer","Tapiture","05/12/2019","pregnant","Broodmare","Glen Robertson",11000
2,0445,"Buck Pond Farm (Douglas S. Arnold), Agent","","Will Take Charge --- She's Plain Jane","03/23/2019","DB/BR",Filly,"Will Take Charge","She's Plain Jane","","","","Yearling","Douglas Arnold, Agent",2500
2,0446,"James B. Keogh (Grovendale), Agent VI","","Shezaprado","02/15/2014","B",Mare,"Paddy O'Prado","Jeopardy Lady","","","","Broodmare Prospect","*RNA (8,000)",---
2,0447,"Clifton Farm LLC","","Hard Spun --- Shrilanka","04/19/2019","B",Filly,"Hard Spun","Shrilanka","","","","Yearling","Cantrell Family Partnership, LTD",125000
2,0448,"Eaton Sales, Agent","","Into Mischief --- Silent Circle","03/27/2019","B",Filly,"Into Mischief","Silent Circle","","","","Yearling","Blue Sky Stables",260000
2,0449,"Buck Pond Farm (Douglas S. Arnold), Agent","","Silk Purse","03/28/2011","CH",Mare,"Elusive Quality","Heaven's Gate","Mendelssohn","06/13/2019","pregnant","Broodmare","*RNA (27,000)",---
2,0450,"Mill Ridge Sales, Agent","","Simply Magic","03/16/2013","CH",Mare,"Lemon Drop Kid","Blessings Count","Lookin At Lucky","03/31/2019","pregnant","Broodmare","Sequestrador Ranch",7500
2,0451,"Stuart Morris, Agent for Morgan's Ford Farm","","Tiznow --- Skipalong","04/01/2019","B",Filly,"Tiznow","Skipalong","","","","Yearling","Morgan's Ford Farm",25000
2,0452,"Lane's End, Agent","","Slimey","03/10/2016","B",Filly,"Quality Road","Argue","","","","Racing or Broodmare Prospect","Out",0
2,0453,"Four Star Sales, Agent for the Estate of William D. Graham","(Windhaven Farms)","Broken Vow --- Smart Timmie","03/10/2019","CH",Colt,"Broken Vow","Smart Timmie","","","","Yearling","Fisher's Farm LLC",7500
2,0454,"Indian Creek, Agent","","Snap Cat","02/19/2014","DB/BR",Mare,"Tale of the Cat","Indian Rush","Practical Joke","05/07/2019","pregnant","Broodmare","Out",0
2,0455,"Trackside Farm (Tom Evans), Agent III","","Snow Cone","02/01/2004","B",Mare,"Cryptoclearance","Icy Warning","Liam's Map","05/18/2019","pregnant","Broodmare","Oak Ridge Farm",25000
2,0456,"Brookdale Sales, Agent for Kelly Thiesing","","Socks","04/07/2014","CH",Mare,"Maclean's Music","Bianco","","","","Broodmare Prospect","*RNA (23,000)",---
2,0457,"Lane's End, Agent","","Somethingelse","03/17/2013","CH",Mare,"Leroidesanimaux (BRZ)","Gamecents","West Coast","02/22/2019","pregnant","Broodmare","Out",0
2,0458,"Buck Pond Farm (Douglas S. Arnold), Agent","","Southern Accents","02/03/2006","B",Mare,"Birdstone","Spring Valley","Sharp Azteca","04/10/2019","pregnant","Broodmare","Five Counties Bloodstock",47000.00
2,0459,"Hidden Brook, Agent VII","","Declaration of War --- Spanish Halo","05/31/2019","CH",Filly,"Declaration of War","Spanish Halo","","","","Yearling","Out",0
2,0460,"James B. Keogh (Grovendale), Agent XL","","California Chrome --- Speak Up Sailor","04/15/2019","CH",Colt,"California Chrome","Speak Up Sailor","","","","Yearling","Willowby Bloodstock",42000
2,0461,"Stuart Morris, Agent III","","Spirit of Shanghai","04/03/2015","DB/BR",Mare,"Shanghai Bobby","Yamato Damashii","Liam's Map","05/02/2019","pregnant","Broodmare","*RNA (50,000)",---
2,0462,"Burleson Farms, Agent","","Spottswoode","04/03/2009","CH",Mare,"Master Command","Joy Valley (BRZ)","Classic Empire","04/30/2019","pregnant","Broodmare","Ahmad Alabdullatif",17000
2,0463,"Lane's End, Agent","","Gemologist --- Star Torina","05/11/2019","B",Filly,"Gemologist","Star Torina","","","","Yearling","D2 Ranch",5000
2,0464,"Lane's End, Agent","","Star Torina","05/09/2008","B",Mare,"A.P. Indy","Gold Canyon","Liam's Map","06/01/2019","pregnant","Broodmare","Town & Country Horse Farms, LLC",100000
2,0465,"Royal Oak Farm (Damian & Braxton Lynch), Agent","","Union Rags --- Stealing Holly","03/01/2019","CH",Colt,"Union Rags","Stealing Holly","","","","Yearling","*RNA (32,000)",---
2,0466,"Lane's End, Agent","","String Section","03/14/2015","CH",Mare,"Candy Ride (ARG)","Lemonette","Street Sense","06/21/2019","not pregnant","Broodmare","Out",0
2,0467,"Bill Murphy, Agent III","","Sky Kingdom --- Successful Brat","04/05/2019","B",Colt,"Sky Kingdom","Successful Brat","","","","Yearling","*RNA (0)",---
2,0468,"Lane's End, Agent","","Sugar Love","02/03/2016","B",Filly,"Candy Ride (ARG)","Ice Cream Silence","","","","Broodmare Prospect","Bo Bromagen, Agent",32000
2,0469,"Glen Hill Farm","","Summer Dress","04/06/2013","DB/BR",Mare,"Candy Ride (ARG)","Rich in Spirit","Orb","05/26/2019","pregnant","Broodmare","Anthony Russo",4500.00
2,0470,"Glen Hill Farm","","Summer Front --- Summer Dress","05/02/2019","DB/BR",Colt,"Summer Front","Summer Dress","","","","Yearling","Out",0
2,0471,"Lane's End, Agent","","Summer Fling","05/15/2015","DB/BR",Mare,"Shanghai Bobby","Summer Song","Palace Malice","04/16/2019","pregnant","Broodmare","Henley Farms",75000
2,0472,"Paramount Sales, Agent XLV","","Summer Passage","04/11/2017","DB/BR",Filly,"Mineshaft","Summer Applause","","","","Racing or Broodmare Prospect","Nice Guys Stables, LLC",40000.00
2,0473,"Hidden Brook, Agent X","","Summer Squeeze","03/26/2015","B",Mare,"Broken Vow","Saratoga Summer","","","","Racing or Broodmare Prospect","D K W Racing",45000
2,0474,"Claiborne Farm, Agent","","Supreme Maker","02/21/2009","DB/BR",Mare,"Empire Maker","A. P. Dream","Lea","04/12/2019","pregnant","Broodmare","Scott Pierce",7500
2,0475,"Blandford Stud (Padraig Campion), Agent","","Practical Joke --- Surfsister","03/03/2019","CH",Filly,"Practical Joke","Surfsister","","","","Yearling","Reconquista",3000
2,0476,"James B. Keogh (Grovendale), Agent X","","Jimmy Creed --- Surprise Cameo","02/11/2019","CH",Filly,"Jimmy Creed","Surprise Cameo","","","","Yearling","Jerome Russell",10000
2,0477,"James B. Keogh (Grovendale), Agent XL","","Mastery --- Sweater Weather","03/22/2019","B",Filly,"Mastery","Sweater Weather","","","","Yearling","Meah/Lloyd Bloodstock LLC, Agent for Calvin Nguyen",50000
2,0478,"Stuart Morris, Agent for Waldorf Farm","","Candy Ride (ARG) --- Sweet Aloha","04/06/2019","CH",Colt,"Candy Ride (ARG)","Sweet Aloha","","","","Yearling","C. Clement, Agent",280000
2,0479,"Lane's End, Agent","","Sweet Avery","02/17/2014","CH",Mare,"Distorted Humor","Ready's Gal","Union Rags","06/08/2019","pregnant","Broodmare","Alex and Kendra Penn",50000
2,0480,"Eaton Sales, Agent","","Tapit --- Sweet Dreams","04/17/2019","GR/RO",Colt,"Tapit","Sweet Dreams","","","","Yearling","Golden Star Farm",230000
2,0481,"Lane's End, Agent","","Classic Empire --- Sweet Invention","04/01/2019","CH",Colt,"Classic Empire","Sweet Invention","","","","Yearling","Meah/Lloyd Bloodstock LLC, Agent for Calvin Nguyen",90000
2,0482,"Four Star Sales, Agent","","Take Charge Aubrey","04/24/2015","B",Mare,"Take Charge Indy","Dr. Zic","","","","Racing or Broodmare Prospect","Chad Schumer, Agent",57000
2,0483,"Brookdale Sales, Agent for Copper Penny Stables","","Distorted Humor --- Tally Ho Dixie","03/23/2019","B",Colt,"Distorted Humor","Tally Ho Dixie","","","","Yearling","Phantom Bloodstock",80000
2,0484,"Indian Creek, Agent","","Tan and Tight","03/30/2016","B",Filly,"Uncle Mo","Claire's Song","","","","Racing or Broodmare Prospect","Out",0
2,0485,"Lane's End, Agent","","Tantara","02/09/2015","B",Mare,"Point of Entry","Vapour (GB)","","","","Racing or Broodmare Prospect","Out",0
2,0486,"Paramount Sales, Agent XII","","Practical Joke --- That Voodoo Youdo","04/29/2019","B",Colt,"Practical Joke","That Voodoo Youdo","","","","Yearling","Cherry Knoll Farm",90000
2,0487,"Paramount Sales, Agent XLVII","","The Blonde Peque","03/10/2010","CH",Mare,"Giant's Causeway","Put Away the Halo","Air Force Blue","03/12/2019","pregnant","Broodmare","Winchell Thoroughbreds, LLC",25000
2,0488,"Paramount Sales, Agent XLVII","","Declaration of War --- The Blonde Peque","02/12/2019","CH",Colt,"Declaration of War","The Blonde Peque","","","","Yearling","*RNA (10,000)",---
2,0489,"Paramount Sales, Agent XXIX","","The Girl Factor","05/03/2015","GR/RO",Mare,"The Factor","Drift to the Lead","","","","Broodmare Prospect","*RNA (34,000)",---
2,0490,"James M. Herbener Jr., Agent V","","Quality Road --- The Now Crowd","01/24/2019","DB/BR",Filly,"Quality Road","The Now Crowd","","","","Yearling","Brown Water Stable",70000
2,0491,"Paramount Sales, Agent II","","This Is War","02/01/2012","DB/BR",Mare,"War Front","Ask Me When","Lookin At Lucky","05/22/2019","pregnant","Broodmare","*RNA (32,000)",---
2,0492,"Trackside Farm (Tom Evans), Agent II","","Get Stormy --- Thornhill","04/13/2019","B",Colt,"Get Stormy","Thornhill","","","","Yearling","*RNA (27,000)",---
2,0493,"Gainesway, Agent XII","","Tia Mia","04/04/2017","B",Filly,"Uncle Mo","Tia","","","","Broodmare Prospect","*RNA (27,000)",---
2,0494,"Mill Ridge Sales, Agent","","Timeslot","02/06/2013","B",Mare,"First Defence","Soothing Touch","Lope de Vega (IRE)","05/24/2019","not pregnant","Broodmare","Out",0
2,0495,"Hidden Brook, Agent I","","Creative Cause --- Tiz Atlantis","04/19/2019","DB/BR",Colt,"Creative Cause","Tiz Atlantis","","","","Yearling","Out",0
2,0496,"Eaton Sales, Agent for the Estate of William D. Graham","(Windhaven Farms)","Tiz Breathtaking","04/28/2016","B",Filly,"Tiznow","I'm Breathtaking","","","","Racing or Broodmare Prospect","WinStar & Larry Taylor",375000
2,0497,"Gainesway, Agent V","","Tizn'tshebeautiful","05/01/2013","B",Mare,"Uncle Mo","Tizfiz","Tapwrit","03/30/2019","pregnant","Broodmare","Sallusto & Albina, Agents",100000
2,0498,"Stuart Morris, Agent X","","Fastnfurious","04/30/2019","DB/BR",Colt,"Gun Runner","Toccet Over","","","","Yearling","Out",0
2,0499,"Paramount Sales, Agent XIX","","Classic Empire --- Tocco","03/26/2019","CH",Filly,"Classic Empire","Tocco","","","","Yearling","Out",0
2,0500,"Indian Creek, Agent","","Trade Agreement","03/25/2016","B",Mare,"Will Take Charge","Czechers","Oscar Performance","04/09/2019","pregnant","Broodmare","Bay View Farm LLC",35000
2,0501,"Indian Creek, Agent","","Trajan's Arch","03/18/2015","DB/BR",Mare,"Arch","Blue Heart","Mastery","04/06/2019","pregnant","Broodmare","ERJ Racing LLC",75000.00
2,0502,"Sequel New York, Agent","","Classic Empire --- Tree Chopper","02/14/2019","B",Colt,"Classic Empire","Tree Chopper","","","","Yearling","Knockgriffin Farm",85000
2,0503,"Summerfield (Francis and Barbara Vanlangendonck),","Agent XCVII","Trip South","03/13/2003","B",Mare,"Trippi","Summer Sweetheart","Tapit","06/17/2019","not pregnant","Broodmare","Short Term Investments",5000
2,0504,"Royal Oak Farm (Damian & Braxton Lynch), Agent","","True Egyptian","03/23/2013","B",Mare,"Pioneerof the Nile","Western Pleaser","Violence","05/06/2019","pregnant","Broodmare","Out",0
2,0505,"Indian Creek, Agent","","Into Mischief --- Two Island Belles","03/06/2019","B",Colt,"Into Mischief","Two Island Belles","","","","Yearling","Susan King",55000
2,0506,"Stuart Morris, Agent for Morgan's Ford Farm","","Gun Runner --- Un Blessed","03/24/2019","CH",Filly,"Gun Runner","Un Blessed","","","","Yearling","Out",0
2,0507,"Eaton Sales, Agent","","Blame --- Unifier","05/08/2019","B",Filly,"Blame","Unifier","","","","Yearling","BBA Ireland",4000
2,0508,"Ashview Farm (Bryan Lyster & Gray Lyster), Agent","","Unreachable","02/04/2009","CH",Mare,"Giant's Causeway","Harpia","Good Magic","03/02/2019","pregnant","Broodmare","*RNA (55,000)",---
2,0509,"Lane's End, Agent","","Up At Dawn","03/07/2016","B",Mare,"Uncle Mo","Heavenly Cat","Liam's Map","06/13/2019","pregnant","Broodmare","Siena Farms LLC",150000
2,0510,"Stuart Morris, Agent IX","","Shackleford --- Upjumpedthedevil","03/27/2019","B",Filly,"Shackleford","Upjumpedthedevil","","","","Yearling","Out",0
2,0511,"Trackside Farm (Tom Evans), Agent VII","","Upset Brewing","03/07/2015","B",Mare,"Justin Phillip","Tipperary Moon","","","","Racing or Broodmare Prospect","Out",0
2,0512,"Paramount Sales, Agent XVIII","","Vacation Travel","04/16/2016","CH",Mare,"More Than Ready","Bahama Bound","Honor Code","04/20/2019","pregnant","Broodmare","Tom Fish",60000
2,0513,"Eaton Sales, Agent","","Velvet Glove","04/04/2015","DB/BR",Mare,"Tale of the Cat","Lady Belsara","Mineshaft","04/13/2019","pregnant","Broodmare","*RNA (27,000)",---
2,0514,"Ashview Farm (Bryan Lyster & Gray Lyster), Agent","","Vevina","04/22/2015","B",Mare,"More Than Ready","My Sugar Bear","","","","Racing or Broodmare Prospect","Optimist Bloodstock",140000
2,0515,"Bluegrass Thoroughbred Services Inc., Agent for","Merriebelle Stable, LLC","Viva Vegas","03/15/2014","GR/RO",Mare,"The Factor","Viva Vega","","","","Racing or Broodmare Prospect","Robert J. Slack",160000
2,0516,"Four Star Sales, Agent","","Tiznow --- Walking in Nassau","04/26/2019","B",Colt,"Tiznow","Walking in Nassau","","","","Yearling","Levy / Harlen Bloodstock",23000
2,0517,"Paramount Sales, Agent II","","Classic Empire --- Wampum Girl","02/21/2019","CH",Filly,"Classic Empire","Wampum Girl","","","","Yearling","Todd Frederick",70000
2,0518,"Four Star Sales, Agent","","Waters Fine","05/18/2016","B",Mare,"Paynter","Jump On In","Palace Malice","03/19/2019","pregnant","Broodmare","Flurry Racing Stables",65000
2,0519,"Brookdale Sales, Agent","","Wealthy Shipman","02/18/2012","CH",Mare,"Midshipman","Wealthy","Bolt d'Oro","05/03/2019","pregnant","Broodmare","*RNA (110,000)",---
2,0520,"Claiborne Farm, Agent","","White Mischief","03/08/2016","GR/RO",Filly,"Into Mischief","Cashing Tickets","","","","Racing or Broodmare Prospect","White Birch Farm, Inc.",82000
2,0521,"Royal Oak Farm (Damian & Braxton Lynch), Agent","","Why Not More","05/13/2008","B",Mare,"Indian Charlie","Why So Much","Mastery","03/06/2019","pregnant","Broodmare","Elkdale Breeding Partnership",40000
2,0522,"Warrendale Sales, Agent IX","","Gormley --- Will Take the Gal","04/10/2019","B",Colt,"Gormley","Will Take the Gal","","","","Yearling","Out",0
2,0523,"Ashview Farm (Bryan Lyster & Gray Lyster), Agent","","Winding Bay","02/24/2012","CH",Mare,"Malibu Moon","Cat Moves","Hootenanny","02/18/2019","pregnant","Broodmare","Out",0
2,0524,"Summerfield (Francis and Barbara Vanlangendonck), Agent for","Parrish Hill Farm","Witch Craft","04/16/2004","B",Mare,"Crafty Prospector","Vivano","Tale of the Cat","05/13/2019","pregnant","Broodmare","*RNA (1,000)",---
2,0525,"Four Star Sales, Agent for the Estate of William D. Graham","(Windhaven Farms)","Classic Empire --- Witty Gal","05/07/2019","CH",Filly,"Classic Empire","Witty Gal","","","","Yearling","Briston Bloodstock",72000
2,0526,"Burleson Farms, Agent","","Yankee Million","04/11/2002","B",Mare,"Yankee Victor","Betamillion Bock","Commissioner","05/25/2019","pregnant","Broodmare","Erin Fisher",2200
2,0527,"Paramount Sales, Agent XIX","","American Freedom --- Zia Josie","04/22/2019","B",Colt,"American Freedom","Zia Josie","","","","Yearling","Sean S. Perl Bloodstock LLC",105000
2,0528,"Eaton Sales, Agent","","Liam's Map --- Zia Zia Zia","05/11/2019","DB/BR",Filly,"Liam's Map","Zia Zia Zia","","","","Yearling","Red Oak Farm",95000
2,0529,"Warrendale Sales, Agent XIV","","Exaggerator --- Affair Dabbler","04/14/2019","B",Colt,"Exaggerator","Affair Dabbler","","","","Yearling","Charles G. Middleton",6000
2,0530,"Paramount Sales, Agent XXVIII","","Mohaymen --- Afillyation","02/19/2019","DB/BR",Filly,"Mohaymen","Afillyation","","","","Yearling","Harris Training Center, LLC / Voric Stables",72000
2,0531,"Eaton Sales, Agent","","War Front --- Agreeable Miss","04/05/2019","B",Filly,"War Front","Agreeable Miss","","","","Yearling","Jamie Railton Sales Agency",345000
2,0532,"Claiborne Farm, Agent","","Aliquippa","02/06/2012","B",Mare,"Yes It's True","Alex's Allure","Lea","05/20/2019","pregnant","Broodmare","Beau Lane",20000
2,0533,"Burleson Farms, Agent","","American Dimples","05/21/2013","B",Mare,"Afleet Alex","American Dreamer","Outwork","04/24/2019","pregnant","Broodmare","*RNA (14,000)",---
2,0534,"Eaton Sales, Agent","","Another Day of Sun","05/01/2016","B",Filly,"Arch","Ballette (IRE)","","","","Broodmare Prospect","Out",0
2,0535,"Lane's End, Agent","","Connect --- Appeal to the Win","05/13/2019","B",Filly,"Connect","Appeal to the Win","","","","Yearling","Enfuego Stables",125000
2,0536,"Sequel New York, Agent","","Classic Empire --- Aristra","03/31/2019","CH",Filly,"Classic Empire","Aristra","","","","Yearling","Scott & Evan Dilworth LLC",70000
2,0537,"Cara Bloodstock (Bernard McCormack), Agent V","","Artilena","01/16/2016","B",Filly,"Artie Schiller","Helena's Triomphe","","","","Racing or Broodmare Prospect","Magna Carta Bloodstock",155000
2,0538,"Lane's End, Agent","","Artistic Diva","04/10/2015","B",Mare,"Munnings","Diva N Disguise","","","","Racing or Broodmare Prospect","Out",0
2,0539,"Lane's End, Agent","","As Rulers Go","01/10/2011","B",Mare,"Roman Ruler","Antoniette","Tapwrit","04/16/2019","pregnant","Broodmare","*RNA (40,000)",---
2,0540,"Four Star Sales, Agent","","Aubrey Tate","03/11/2017","DB/BR",Filly,"Bayern","D'wild Ride","","","","Racing or Broodmare Prospect","Out",0
2,0541,"Warrendale Sales, Agent X","","Auspiciously","02/20/2008","DB/BR",Mare,"Malibu Moon","Ivory Mint","More Than Ready","05/15/2019","pregnant","Broodmare","Haymarket Farm",90000
2,0542,"Gainesway, Agent II","","Awesome Bird","04/28/2013","DB/BR",Mare,"Awesome Again","Elusive Bird","Cross Traffic","04/22/2019","not pregnant","Broodmare","Fred Alexander",7000
2,0543,"Paramount Sales, Agent XLVI","","Awesome Jill","03/30/2011","B",Mare,"Pioneerof the Nile","Guculka Ksenya","Exaggerator","03/20/2019","pregnant","Broodmare","Gayle Van Leer, Agent",25000
2,0544,"James B. Keogh (Grovendale), Agent XXX","","Speightster --- Awesome Zip","04/11/2019","B",Colt,"Speightster","Awesome Zip","","","","Yearling","Knockgriffin Farm",50000
2,0545,"Eaton Sales, Agent for the Estate of William D. Graham","(Windhaven Farms)","Classic Empire --- Babcock","04/15/2019","B",Filly,"Classic Empire","Babcock","","","","Yearling","Rascal Bloodstock",105000
2,0546,"Lane's End, Agent","","Baby Seal","04/14/2016","GR/RO",Filly,"Bernardini","One Caroline","","","","Broodmare Prospect","Hill 'n' Dale at Xalapa",145000
2,0547,"Bluegrass Thoroughbred Services Inc., Agent V","","Bernardini --- Bacopa Breeze","04/28/2019","B",Filly,"Bernardini","Bacopa Breeze","","","","Yearling","High Peak Farm & A.R.E. LLC",25000
2,0548,"Blandford Stud (Padraig Campion), Agent","","Practical Joke --- Bama Belle","04/02/2019","B",Colt,"Practical Joke","Bama Belle","","","","Yearling","Brookstone",210000
